RETAIL,,,,,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,,,,,
4088,true,5,4,23,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,
1.1,1.1,,,,,,,,,,,,,,,,,,,,
1.2,1.2,,,,,,,,,,,,,,,,,,,,
1.3,1.3,,,,,,,,,,,,,,,,,,,,
1.5,1.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2,additionSound3,additionSound4,additionSound5,additionSound6
192,8,2,3,50,20,20,0,15,0,0,0,20,32,0,11,"5,2","0,0",,,,
192,56,46,2,50,10,0,0,15,0,0,0,15,32,0,0,"9,46","1,44","7,26","7,39","10,3","2,1"
192,9,3,3,50,10,0,0,-7,0,1,12,18,32,0,0,"10,3","2,1",,,,
192,42,13,1,50,10,0,4,-4,0,11,12,18,32,0,0,"12,13","3,11",,,,
