RETAIL,,,,,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,,,,,
0,false,5,5,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2,additionSound3,additionSound4,additionSound5,additionSound6
192,5,0,0,280,0,7,0,0,0,4,1,8,32,0,11,"5,11","0,9",,,,
192,15,4,0,28,0,0,0,0,0,14,0,7,32,0,0,"8,13","3,11",,,,
192,16,10,0,56,0,0,0,0,6,8,1,10,32,0,0,"5,11","0,9",,,,
192,11,5,0,84,0,0,0,0,4,6,0,9,32,0,0,"9,16","1,14",,,,
192,19,5,0,112,0,0,0,0,0,18,0,9,32,0,0,"10,20","3,18","7,4","7,10","5,11","0,9"
192,68,39,0,0,0,0,0,0,0,67,0,11,32,0,0,"5,11","0,9",,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,14","1,12",,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,7","2,5",,,,
