RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4056,true,5,3,8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.1,1.1,,,,,,,,,,,,,,,,
1.2,1.2,,,,,,,,,,,,,,,,
1.3,1.3,,,,,,,,,,,,,,,,
1.5,1.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,11,5,3,50,15,15,0,3,2,2,5,12,32,0,11,"5,5","0,3"
192,15,9,3,50,15,0,0,-3,8,2,7,8,32,0,0,"7,9","1,7"
192,33,8,1,100,20,0,4,0,6,2,11,6,32,0,0,"10,8","3,6"
