Level,Speed,AT,MAT,DF,MDF,HP,EXP
1,40,3,2,4,2,35,35
2,0,3,1,3,1,32,60
3,0,7,1,3,1,33,110
4,0,2,2,3,1,33,203
5,0,1,1,3,1,33,350
6,0,4,1,3,1,33,557
7,0,3,2,3,0,32,831
8,0,4,1,3,1,33,1183
9,0,3,2,3,1,33,1624
10,0,4,1,3,1,33,2161
11,0,3,1,3,1,33,2806
12,0,4,2,3,1,91,3567
13,0,4,1,4,1,91,4456
14,0,3,2,3,1,91,5481
15,0,4,2,3,1,92,6651
16,0,4,1,4,1,91,7978
17,0,4,2,3,1,91,9471
18,0,3,2,3,1,92,11139
19,0,4,1,4,1,91,12992
20,0,4,2,3,1,91,15039
21,0,4,1,3,1,92,17292
22,0,3,2,4,3,123,19759
23,0,4,2,3,3,123,22450
24,0,4,2,3,2,123,25375
25,0,4,2,4,3,123,28543
26,0,3,2,3,3,124,31965
27,0,4,2,3,2,123,35650
28,0,4,2,4,3,123,39607
29,0,4,2,3,3,123,43848
30,0,3,1,3,2,123,48380
31,0,4,2,4,3,124,53215
32,0,4,2,3,1,130,58361
33,0,4,2,3,1,131,63829
34,0,3,1,4,1,131,69629
35,0,4,2,3,1,131,75769
36,0,4,2,3,1,131,82260
37,0,4,2,4,1,131,89112
38,0,3,1,3,1,131,96334
39,0,4,2,3,2,131,103936
40,0,4,2,4,1,131,111927
41,0,4,2,3,1,131,120318
42,0,3,2,3,2,284,129119
43,0,4,2,4,3,285,138338
44,0,4,2,3,3,285,147987
45,0,4,2,3,3,285,158073
46,0,3,2,4,3,285,168608
47,0,4,2,3,3,285,179601
48,0,4,2,3,3,285,191061
49,0,4,2,4,3,285,203000
50,0,3,2,3,3,285,218531
51,0,4,2,3,2,285,234684
52,0,4,2,4,1,176,251470
53,0,4,2,3,1,176,268901
54,0,5,2,4,1,176,286991
55,0,4,3,4,1,176,305750
56,0,4,2,3,2,176,325191
57,0,4,2,4,1,176,345327
58,0,4,3,3,1,176,366169
59,0,4,2,4,1,176,387730
60,0,5,2,3,1,176,0
