Name,CSV
Dart,double_slash
Dart,volcano
Dart,burning_rush
Dart,crush_dance
Dart,madness_hero
Dart,moon_strike
Dart,blazing_dynamo
Lavitz,harpoon
Lavitz,spinning_cane
Lavitz,rod_typhoon
Lavitz,gust_of_wind_dance
Lavitz,flower_storm
Rose,whip_smack
Rose,more_more
Rose,hard_blade
Rose,demons_dance
Haschel,double_punch
Haschel,ferry_of_styx
Haschel,summon_4_gods
Haschel,five_ring_shattering
Haschel,hex_hammer
Haschel,omni_sweep
Albert,albert_harpoon
Albert,albert_spinning_cane
Albert,albert_rod_typhoon
Albert,albert_gust_of_wind_dance
Albert,albert_flower_storm
Meru,double_smack
Meru,hammer_spin
Meru,cool_boogie
Meru,cats_cradle
Meru,perky_step
Kongol,pursuit
Kongol,inferno
Kongol,bone_crush
