Target Type,Element,Damage,Power Defence,Power Magic Defence,Power Attack,Power Magic Attack,Power AHIT,Power MHIT,Power AAV,Power MAV,Physical Immunity,Magical Immunity,Speed Up,Speed Down,SP Per Physical Hit,MP Per Physical Hit,SP Per Magical Hit,MP Per Magical Hit,Icon,Status,Percentage,Base Switch,Instant Kill,Price,Name,Description,Battle Description,ItemType,DEFF,Use Colour,Script Entry Point,Repeat Item,Registry ID,Menu Description
76,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,2, ,,,AttackItem,4307,0,-1,false,dragoon_modifier:_,
78,0,128,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,5,Detonate Rock,Detonates and§attacks all.,Detonates & attacks all.,AttackItem,4309,0,-1,false,dragoon_modifier:detonate_rock,
76,16,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,5,Spark Net,Thunder-based§individual attack§(multi).,"S attack(thunder, multi).",AttackItem,4311,0,-1,false,dragoon_modifier:spark_net,
76,128,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,5,Burn Out,Fire-based§individual attack§(multi).,"S attack(fire, multi).",AttackItem,4313,0,-1,false,dragoon_modifier:burn_out,
0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,1, , ,,,4315,0,-1,false,dragoon_modifier:_,
76,2,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,5,Pellet,Earth-based§individual attack§(multi).,"S attack(earth, multi).",AttackItem,4317,0,-1,false,dragoon_modifier:pellet,
76,1,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,5,Spear Frost,Water-based§individual attack§(multi).,"S attack(water, multi).",AttackItem,4319,0,-1,false,dragoon_modifier:spear_frost,
76,64,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,5,Spinning Gale,Wind-based§individual attack§(multi).,"S attack(wind, multi).",AttackItem,4321,0,-1,false,dragoon_modifier:spinning_gale,
76,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,46,0,0,0,false,10,Attack Ball,Generates one of §the attack items.,Generates 1 attack item.,AttackBallItem,-1,0,-1,false,dragoon_modifier:attack_ball,
76,32,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,5,Trans Light,Light-based§individual attack§(multi).,"S attack(light, multi).",AttackItem,4325,0,-1,false,dragoon_modifier:trans_light,
76,4,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,5,Dark Mist,Darkness-based§individual attack§(multi).,"S attack(dark, multi).",AttackItem,4327,0,-1,false,dragoon_modifier:dark_mist,
88,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,33,0,50,128,false,5,Healing Potion,Recovers half of§maximum value§of HP.,Recovers 1/2 of max HP.,HealingPotionItem,4385,0,-1,false,dragoon_modifier:healing_potion,
72,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,37,1,0,8,false,15,Depetrifier,Dissolves§petrification.,Dissolves petrification.,DepetrifierItem,-1,0,-1,false,dragoon_modifier:depetrifier,
88,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,37,78,0,8,false,10,Mind Purifier,"Dissolves fear,§bewitchment, §confusion dispirit.","Dissolves B, C, F, D.",MindPurifierItem,-1,0,-1,false,dragoon_modifier:mind_purifier,%s healed
88,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,37,176,0,8,false,5,Body Purifier,Nullifies poison/§stunning/arm §blocking.,"Dissolves P, S, A-Block.",BodyPurifierItem,-1,0,-1,false,dragoon_modifier:body_purifier,%s healed
78,16,128,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,10,Thunderbolt,Thunder-based§attack for all§(multi).,"A attack(thndr, multi).",AttackItem,4337,0,-1,false,dragoon_modifier:thunderbolt,
78,2,128,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,10,Meteor Fall,Earth-based§attack for all§(multi).,"A attack(earth, multi).",AttackItem,4339,0,-1,false,dragoon_modifier:meteor_fall,
78,128,128,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,10,Gushing Magma,Fire-based§attack for all§(multi).,"A attack(flame, multi).",AttackItem,4341,0,-1,false,dragoon_modifier:gushing_magma,
78,32,128,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,10,Dancing Ray,Light-based§attack for all§(multi).,"A attack(light, multi).",AttackItem,4343,0,-1,false,dragoon_modifier:dancing_ray,
72,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,100,32,false,1,Spirit Potion,Recovers 100 pts.§of SP during §combat.,Recovers 100SP in combat.,SpiritPotionItem,4345,0,-1,false,dragoon_modifier:spirit_potion,
76,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,39,4,0,4,false,5,Panic Bell,Confuses minor§enemies.,Confuses minor enemy.,CauseStatusItem,4347,-11,-1,false,dragoon_modifier:panic_bell,
90,0,128,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,50,128,false,1, , ,,,-1,0,-1,false,dragoon_modifier:_,
78,1,128,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,10,Fatal Blizzard,Water-based§attack for all§(multi).,"A attack(water, multi).",AttackItem,4351,0,-1,false,dragoon_modifier:fatal_blizzard,
76,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,39,16,0,4,false,5,Stunning Hammer,Stuns minor§enemies.,Stuns minor enemy.,CauseStatusItem,4353,-13,-1,false,dragoon_modifier:stunning_hammer,
78,4,128,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,10,Black Rain,Darkness-based§attack for all§(multi).,"A attack(dark, multi).",AttackItem,4355,0,-1,false,dragoon_modifier:black_rain,
76,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,39,128,0,4,false,5,Poison Needle,Poisons minor§enemies.,Poisons minor enemy.,CauseStatusItem,4357,-16,-1,false,dragoon_modifier:poison_needle,
76,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,39,8,0,4,false,5,Midnight Terror,Frightens minor§enemies.,Frightens minor enemy.,CauseStatusItem,4359,-12,-1,false,dragoon_modifier:midnight_terror,
0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,1, , ,,,4361,0,-1,false,dragoon_modifier:_,
78,64,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,10,Rave Twister,Wind-based§attack for all§(multi).,"A attack (wing, multi).",AttackItem,4363,0,-1,false,dragoon_modifier:rave_twister,
204,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,46,0,0,0,true,1,Total Vanishing,Destroys §minor enemies.,Eliminates minor enemy.,TotalVanishingItem,4365,0,-1,false,dragoon_modifier:total_vanishing,
8,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,36,0,50,16,false,15,Angel's Prayer,Revitalizes and §recovers half of§HP.,Revitalizes & Recover 1/2HP.,AngelsPrayerItem,4367,0,-1,false,dragoon_modifier:angels_prayer,
80,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,45,0,0,0,false,2,Charm Potion,Reduces risk of§encounter.,Avoids minor enemy 3x.,CharmPotionItem,4369,0,-1,false,dragoon_modifier:charm_potion,Encounter risk reduced
80,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,45,0,0,0,false,2,Pandemonium,Minor enemy only§attacks one ally§3 turns (repeat).,Allow minor enemy attack 3x.,PandemoniumItem,4371,0,-1,true,dragoon_modifier:pandemonium,
64,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,46,0,0,0,false,10,Recovery Ball,Generates a§recovery item.,Generates 1 recovery item.,RecoveryBallItem,-1,0,-1,false,dragoon_modifier:recovery_ball,
72,0,0,0,0,0,0,0,0,0,0,true,true,0,0,0,0,0,0,42,0,0,0,false,1, , ,,,4375,0,-1,false,dragoon_modifier:_,
72,0,0,0,0,0,0,0,0,0,0,false,true,0,0,0,0,0,0,42,0,0,0,false,1,Magic Shield,Nullifies magical§attack for 3 turns§(repeat).,Nullify magical attack 3x.,ShieldItem,4377,0,39,true,dragoon_modifier:magic_shield,
72,0,0,0,0,0,0,0,0,0,0,true,false,0,0,0,0,0,0,42,0,0,0,false,1,Material Shield,Nullifies physical §attack for 3 turns §(repeat).,Nulify physical attack 3x.,ShieldItem,4379,0,40,true,dragoon_modifier:material_shield,
88,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,34,0,100,64,false,25,Sun Rhapsody,Completely§recovers MP.,Completely recovers MP.,SunRhapsodyItem,4381,0,-1,false,dragoon_modifier:sun_rhapsody,Completely recovers MP.
72,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,46,0,0,0,false,1,Smoke Ball,100% sure escape §from minor enemy§(repeat).,Escape a minor enemy.,SmokeBallItem,4383,0,-1,true,dragoon_modifier:smoke_ball,
88,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,33,0,100,128,false,20,Healing Fog,Completely §recovers HP.,Completely recovers HP.,HealingFogItem,4385,0,-1,false,dragoon_modifier:healing_fog,
76,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,46,0,0,0,false,1,Magic Sig Stone,Blocks enemy's§move for 3 turns§(repeat).,Blocks enemy move 3x (rep).,SignetStoneItem,4387,0,-1,true,dragoon_modifier:magic_sig_stone,
90,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,33,0,100,128,false,100,Healing Rain,Completely §recovers HP§for all.,Recovers 100% HP for all.,HealingRainItem,4389,0,-1,false,dragoon_modifier:healing_rain,
90,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,34,0,100,64,false,100,Moon Serenade,Completely §recovers MP§for all.,Recovers 100% MP for all.,MoonSerenadeItem,4391,0,-1,false,dragoon_modifier:moon_serenade,
72,0,0,50,50,50,50,0,0,0,0,false,false,0,0,0,0,0,0,40,0,0,0,false,1,Power Up,Strength increase§for 3 turns§(repeat).,3 turns powerful (rep).,BuffItem,4393,0,38,true,dragoon_modifier:power_up,
76,0,0,-50,-50,-50,-50,0,0,0,0,false,false,0,0,0,0,0,0,41,0,0,0,false,1,Power Down,Becomes weak§for 3 turns§(repeat).,3 turns weak (rep).,BuffItem,4395,0,33,true,dragoon_modifier:power_down,
72,0,0,0,0,0,0,0,0,0,0,false,false,100,0,0,0,0,0,40,0,0,0,false,1,Speed Up,Doubles agility§for 3 turns§(repeat).,Doubles agility 3x(rep).,BuffItem,4397,0,38,true,dragoon_modifier:speed_up,
76,0,0,0,0,0,0,0,0,0,0,false,false,0,-50,0,0,0,0,41,0,0,0,false,1,Speed Down,Halves agility§for 3 turns§(repeat).,Halves agility 3x(rep).,BuffItem,4399,0,33,true,dragoon_modifier:speed_down,
72,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,46,0,30,128,false,1, , ,,HealingPotionItem,4401,0,-1,false,dragoon_modifier:enemy_healing_potion,
76,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,1,Sachet,Gives subtle§good aroma.,Gives subtle good aroma.,SachetItem,4403,0,-1,false,dragoon_modifier:sachet,
78,8,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,1,Psyche Bomb,Unbased§attack for all§(multi).,"A attack(non, multi).",AttackItem,4405,0,-1,false,dragoon_modifier:psyche_bomb,
78,128,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,1,Burning Wave,Fire-based§powerful attack §for all.,Powerful A attack(Fire).,AttackItem,4407,0,-1,false,dragoon_modifier:burning_wave,
78,1,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,1,Frozen Jet,Water-based§powerful attack§for all.,Powerful A attack(Water).,AttackItem,4409,0,-1,false,dragoon_modifier:frozen_jet,
78,64,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,1,Down Burst,Wind-based§powerful attack§for all.,Powerful A attack(Wind).,AttackItem,4411,0,-1,false,dragoon_modifier:down_burst,
78,2,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,1,Gravity Grabber,Earth-based§powerful attack§for all.,Powerful A attack(Earth).,AttackItem,4413,0,-1,false,dragoon_modifier:gravity_grabber,
78,32,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,1,Spectral Flash,Light-based§powerful attack§for all.,Powerful A attack(Light).,AttackItem,4415,0,-1,false,dragoon_modifier:spectral_flash,
78,4,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,1,Night Raid,Darkness-based§powerful attack§for all.,Powerful A attack(Dark).,AttackItem,4417,0,-1,false,dragoon_modifier:night_raid,
78,16,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,38,0,0,0,false,1,Flash Hall,Thunder-based§powerful attack§for all.,Powerful A attack(Thndr).,AttackItem,4419,0,-1,false,dragoon_modifier:flash_hall,
90,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,33,0,50,128,false,40,Healing Breeze,Recover half of§HP for all.,Recovers 1/2HP for all.,HealingBreezeItem,4421,0,-1,false,dragoon_modifier:healing_breeze,
110,8,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,46,0,0,0,false,1,Psyche Bomb X,Unbased attack§for all (multi) §(repeat).,"A attack(non, multi, rep).",PsycheBombXItem,4423,0,-1,true,dragoon_modifier:psyche_bomb_x,
0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0, , ,,,4425,0,-1,false,dragoon_modifier:_,
0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0, , ,,,4427,0,-1,false,dragoon_modifier:_,
0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0, , ,,,4429,0,-1,false,dragoon_modifier:_,
0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0, , ,,,4431,0,-1,false,dragoon_modifier:_,
0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,false,0,None, ,,,4433,0,-1,false,dragoon_modifier:_,
