RETAIL,,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,,
4036,true,5,7,29,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,
1.2,1,,,,,,,,,,,,,,,,,
1.4,1,,,,,,,,,,,,,,,,,
1.6,1,,,,,,,,,,,,,,,,,
1.75,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2,additionSound3
192,15,9,2,30,8,5,0,0,0,8,5,12,32,0,11,"4,9","0,7",
192,25,20,2,30,2,0,0,0,16,3,7,9,32,0,0,"7,20","2,18",
192,14,9,2,30,2,0,0,0,0,0,0,10,32,0,0,"8,9","1,7",
192,15,11,1,30,2,0,0,0,0,0,0,9,32,0,0,"7,11","3,9",
192,12,7,2,30,2,0,0,0,4,1,1,14,32,0,0,"4,7","2,5",
192,12,7,2,30,2,0,0,0,0,0,0,14,32,0,0,"5,7","2,5",
192,59,12,1,20,2,0,4,-5,0,11,3,13,32,0,0,"10,12","3,10","12,40"
