Max MP,Spell Learned,UK1,AT,MAT,DF,MDF,Name
0,255,255,255,255,255,255,Dart DLv0
20,0,255,100,100,250,250,Dart DLv1
40,1,255,100,100,250,250,Dart DLv2
60,2,255,100,100,250,250,Dart DLv3
80,255,255,100,100,250,250,Dart DLv4
100,3,255,100,100,250,250,Dart DLv5
0,255,255,255,255,255,255,Lavitz DLv0
20,5,255,100,100,250,250,Lavitz DLv1
40,7,255,100,100,250,250,Lavitz DLv2
60,6,255,100,100,250,250,Lavitz DLv3
80,255,255,100,100,250,250,Lavitz DLv4
100,8,255,100,100,250,250,Lavitz DLv5
0,255,255,255,255,255,255,Shana DLv0
20,11,255,100,100,250,250,Shana DLv1
40,10,255,100,100,250,250,Shana DLv2
60,12,255,100,100,250,250,Shana DLv3
80,255,255,100,100,250,250,Shana DLv4
100,13,255,100,100,250,250,Shana DLv5
0,255,255,255,255,255,255,Rose DLv0
20,15,255,100,100,250,250,Rose DLv1
40,16,255,100,100,250,250,Rose DLv2
60,18,255,100,100,250,250,Rose DLv3
80,255,255,100,100,250,250,Rose DLv4
100,19,255,100,100,250,250,Rose DLv5
0,255,255,255,255,255,255,Haschel DLv0
20,20,255,100,100,250,250,Haschel DLv1
40,21,255,100,100,250,250,Haschel DLv2
60,22,255,100,100,250,250,Haschel DLv3
80,255,255,100,100,250,250,Haschel DLv4
100,23,255,100,100,250,250,Haschel DLv5
0,255,255,255,255,255,255,Albert DLv0
20,14,255,100,100,250,250,Albert DLv1
40,26,255,100,100,250,250,Albert DLv2
60,17,255,100,100,250,250,Albert DLv3
80,255,255,100,100,250,250,Albert DLv4
100,8,255,100,100,250,250,Albert DLv5
0,255,255,255,255,255,255,Meru DLv0
20,24,255,100,100,250,250,Meru DLv1
40,25,255,100,100,250,250,Meru DLv2
60,27,255,100,100,250,250,Meru DLv3
80,255,255,100,100,250,250,Meru DLv4
100,28,255,100,100,250,250,Meru DLv5
0,255,255,255,255,255,255,Kongol DLv0
20,29,255,100,100,70,100,Kongol DLv1
40,255,255,100,100,70,100,Kongol DLv2
60,30,255,100,100,70,100,Kongol DLv3
80,255,255,100,100,70,100,Kongol DLv4
100,31,255,100,100,70,100,Kongol DLv5
0,255,255,255,255,255,255,??? DLv0
20,66,255,100,100,250,250,??? DLv1
40,65,255,100,100,250,250,??? DLv2
60,67,255,100,100,250,250,??? DLv3
80,255,255,100,100,250,250,??? DLv4
100,13,255,100,100,250,250,??? DLv5
0,255,255,255,255,255,255,Divine Dart DLv0
20,0,255,100,100,250,250,Divine Dart DLv1
40,1,255,100,100,250,250,Divine Dart DLv2
60,2,255,100,100,250,250,Divine Dart DLv3
80,255,255,100,100,250,250,Divine Dart DLv4
100,3,255,100,100,250,250,Divine Dart DLv5
