RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
0,false,5,5,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"4,9","0,7"
192,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,"5,11","3,9"
192,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,"4,9","0,7"
192,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,"13,12","1,10"
192,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"9,8","3,6"
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,9","0,7"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,28","1,26"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,15","2,13"
