Slot1,Slot2,Slot3,Slot4,Slot5,Slot6,Slot7,Slot8,Slot9,Slot10,Slot11,Slot12,Slot13,Slot14,Slot15,Slot16,Slot17,Slot18,Slot19,Slot20,Slot21,Slot22,Slot23,Slot24,Slot25,Slot26,Slot27,Slot28,Slot29,Slot30,Slot31,Slot32,Name
lod:bastard_sword,lod:sparkle_arrow,lod:scale_armor,lod:leather_jacket,lod:sallet,lod:poison_guard,lod:panic_guard,lod:stun_guard,lod:bravery_amulet,lod:knight_shield,dragoon_modifier:sages_shield,dragoon_modifier:thiefs_shoes,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Bale Weapon
lod:healing_potion,lod:angels_prayer,lod:mind_purifier,lod:body_purifier,lod:spear_frost,lod:meteor_fall,lod:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Bale Item
lod:lance,lod:cape,lod:dragon_helm,lod:active_ring,lod:protector,lod:panic_guard,lod:power_wrist,lod:wargod_calling,lod:bandits_shoes,lod:bandits_ring,lod:dancers_ring,lod:ultimate_wargod,lod:angel_scarf,lod:dragon_shield,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Lohan Weapon
lod:healing_potion,lod:sun_rhapsody,lod:angels_prayer,lod:mind_purifier,lod:body_purifier,lod:spinning_gale,lod:gushing_magma,lod:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Lohan Item
lod:heat_blade,lod:long_bow,lod:armet,lod:iron_kneepiece,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Kazas Weapon
lod:healing_potion,lod:sun_rhapsody,lod:angels_prayer,lod:dark_mist,lod:fatal_blizzard,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Kazas Item
lod:shadow_cutter,lod:chain_mail,lod:soft_boots,lod:poison_guard,lod:active_ring,lod:protector,lod:panic_guard,lod:stun_guard,lod:bravery_amulet,lod:magic_ego_bell,lod:power_wrist,lod:knight_shield,lod:wargod_calling,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Fletz Weapon
lod:healing_potion,lod:healing_breeze,lod:sun_rhapsody,lod:angels_prayer,lod:mind_purifier,lod:body_purifier,lod:trans_light,lod:black_rain,lod:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Fletz Item
lod:silver_vest,lod:tiara,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Donau Weapon
lod:healing_potion,lod:sun_rhapsody,lod:angels_prayer,lod:mind_purifier,lod:body_purifier,lod:rave_twister,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Donau Item
lod:glaive,lod:beast_fang,lod:warrior_dress,lod:stun_guard,lod:magic_ego_bell,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Queen Fury Weapon
lod:healing_potion,lod:healing_breeze,lod:sun_rhapsody,lod:angels_prayer,lod:mind_purifier,lod:body_purifier,lod:trans_light,lod:dancing_ray,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Queen Fury Item
