targetType,flags,specialEffect,damage,multi,accuracy,mp,statusChance,element,statusType,buffType,_0b,index,battleStage,Registry ID,Retail Registry ID
192,0,0,32,0,100,10,0,128,0,0,0,0,,spell0,flameshot
200,0,0,0,0,100,20,0,128,0,0,0,1,,spell1,explosion
192,0,0,16,0,100,30,0,128,0,0,0,2,,spell2,final_burst
200,0,0,16,0,100,80,0,128,0,0,0,3,,spell3,red_eyed_dragon
192,0,0,2,0,100,50,0,8,0,0,0,4,,spell4,divine_dg_cannon
200,0,0,0,0,100,20,0,64,0,0,0,5,,spell5,wing_blaster
192,0,0,16,0,100,30,0,64,0,0,0,6,,spell6,gaspless
136,4,16,0,0,100,20,0,64,0,192,0,7,,spell7,blossom_storm
200,0,0,16,0,100,80,0,64,0,0,0,8,,spell8,jade_dragon
200,0,0,8,0,100,50,0,8,0,0,0,9,,spell9,divine_dg_ball
200,0,0,0,0,100,20,0,32,0,0,0,10,,spell10,star_children
128,4,2,0,100,100,10,0,32,0,0,0,11,,spell11,moon_light
136,4,2,0,50,100,30,0,32,0,0,0,12,,spell12,gates_of_heaven
200,2,0,16,0,100,80,0,32,0,0,0,13,,spell13,white_silver_dragon
200,0,0,0,0,100,20,0,64,0,0,0,14,,spell14,albert_wing_blaster
192,2,0,32,0,100,10,0,4,0,0,0,15,,spell15,astral_drain
200,0,32,0,0,100,20,100,4,8,0,0,16,,spell16,death_dimension
192,0,0,16,0,100,30,0,64,0,0,0,17,,spell17,albert_gaspless
200,128,0,0,0,100,30,100,4,0,0,0,18,,spell18,demons_gate
192,0,0,8,0,100,80,0,4,0,0,0,19,,spell19,dark_dragon
192,0,0,0,0,100,10,0,16,0,0,0,20,,spell20,atomic_mind
192,0,32,32,0,100,20,100,16,16,0,0,21,,spell21,thunder_kid
192,0,0,16,0,100,30,0,16,0,0,0,22,,spell22,thunder_god
192,0,0,8,0,100,80,0,16,0,0,0,23,,spell23,violet_dragon
192,0,0,32,0,100,10,0,1,0,0,0,24,,spell24,freezing_ring
136,4,2,0,50,100,20,0,1,0,0,0,25,,spell25,rainbow_breath
136,4,16,0,0,100,20,0,64,0,192,0,26,,spell26,rose_storm
200,0,0,32,0,100,30,0,1,0,0,0,27,,spell27,diamond_dust
192,0,0,8,0,100,80,0,1,0,0,0,28,,spell28,blue_sea_dragon
200,0,0,64,0,100,20,0,2,0,0,0,29,,spell29,grand_stream
200,0,0,32,0,100,30,0,2,0,0,0,30,,spell30,meteor_strike
200,0,0,16,0,100,80,0,2,0,0,0,31,,spell31,golden_dragon
64,0,0,128,0,100,0,0,0,0,0,0,32,,spell32,spell32
64,0,0,0,0,100,0,0,0,0,0,0,33,,spell33,spell33
64,0,0,64,0,100,0,0,0,0,0,0,34,,spell34,spell34
64,0,0,32,0,100,0,0,0,0,0,0,35,,spell35,spell35
64,0,0,16,0,100,0,0,0,0,0,0,36,,spell36,spell36
64,0,0,8,0,100,0,0,0,0,0,0,37,,spell37,spell37
72,0,0,128,0,100,0,0,0,0,0,0,38,,spell38,spell38
72,0,0,0,0,100,0,0,0,0,0,0,39,,spell39,spell39
72,0,0,64,0,100,0,0,0,0,0,0,40,,spell40,spell40
72,0,0,32,0,100,0,0,0,0,0,0,41,,spell41,spell41
72,0,0,16,0,100,0,0,0,0,0,0,42,,spell42,spell42
72,0,0,8,0,100,0,0,0,0,0,0,43,,spell43,spell43
192,0,0,128,0,100,0,0,0,0,0,0,44,,spell44,spell44
192,0,0,0,0,100,0,0,0,0,0,0,45,,spell45,spell45
192,0,0,64,0,100,0,0,0,0,0,0,46,,spell46,spell46
192,0,0,32,0,100,0,0,0,0,0,0,47,,spell47,spell47
192,0,0,16,0,100,0,0,0,0,0,0,48,,spell48,spell48
192,0,0,8,0,100,0,0,0,0,0,0,49,,spell49,spell49
200,0,0,128,0,100,0,0,0,0,0,0,50,,spell50,spell50
200,0,0,0,0,100,0,0,0,0,0,0,51,,spell51,spell51
200,0,0,64,0,100,0,0,0,0,0,0,52,,spell52,spell52
200,0,0,32,0,100,0,0,0,0,0,0,53,,spell53,spell53
200,0,0,16,0,100,0,0,0,0,0,0,54,,spell54,spell54
200,0,0,8,0,100,0,0,0,0,0,0,55,,spell55,spell55
0,0,16,0,0,100,0,0,0,0,32,0,56,,spell56,spell56
64,0,16,0,0,100,0,0,0,0,2,0,57,,spell57,spell57
0,0,16,0,0,100,0,0,0,0,128,0,58,,spell58,spell58
64,0,16,0,0,100,0,0,0,0,8,0,59,,spell59,spell59
0,0,16,0,0,100,0,0,0,0,16,0,60,,spell60,spell60
64,0,16,0,0,100,0,0,0,0,1,0,61,,spell61,spell61
0,0,16,0,0,100,0,0,0,0,64,0,62,,spell62,spell62
64,0,16,0,0,100,0,0,0,0,4,0,63,,spell63,spell63
0,64,16,0,0,100,0,0,0,0,0,0,64,,spell64,spell64
0,32,16,0,0,100,0,0,0,0,0,0,65,,spell65,spell65
0,96,16,0,0,100,0,0,0,0,0,0,66,,spell66,spell66
192,2,0,0,0,100,0,0,0,0,0,0,67,,spell67,spell67
192,1,0,0,0,100,0,0,0,0,0,0,68,,spell68,spell68
192,0,0,0,0,100,0,0,128,0,0,0,69,,spell69,spell69
192,0,0,0,0,100,0,0,1,0,0,0,70,,spell70,spell70
192,0,0,0,0,100,0,0,64,0,0,0,71,,spell71,spell71
192,0,0,0,0,100,0,0,2,0,0,0,72,,spell72,spell72
192,0,0,0,0,100,0,0,32,0,0,0,73,,spell73,spell73
192,0,0,0,0,100,0,0,4,0,0,0,74,,spell74,spell74
192,0,0,0,0,100,0,0,16,0,0,0,75,,spell75,spell75
200,0,0,0,0,100,0,0,128,0,0,0,76,,spell76,spell76
200,0,0,0,0,100,0,0,1,0,0,0,77,,spell77,spell77
200,0,0,0,0,100,0,0,64,0,0,0,78,,spell78,spell78
200,0,0,0,0,100,0,0,2,0,0,0,79,,spell79,spell79
200,0,0,0,0,100,0,0,32,0,0,0,80,,spell80,spell80
200,0,0,0,0,100,0,0,4,0,0,0,81,,spell81,spell81
200,0,0,0,0,100,0,0,16,0,0,0,82,,spell82,spell82
64,0,32,0,0,100,0,100,0,1,0,0,83,,spell83,spell83
