RETAIL,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,
4043,false,5,8,-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,
1.08,1.5,,,,,,,,,,,,,,,,
1.16,2,,,,,,,,,,,,,,,,
1.24,2.5,,,,,,,,,,,,,,,,
1.35,3.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2
192,19,13,2,30,8,0,0,0,0,0,0,18,32,18,0,"5,11","0,9"
192,27,20,1,30,8,0,0,0,14,12,12,12,32,0,0,"10,13","1,11"
192,16,11,2,40,8,0,0,0,4,5,1,22,32,0,0,"13,20","2,19"
192,22,17,2,40,8,0,0,0,10,5,3,18,32,0,0,"8,11","0,9"
192,17,13,1,40,8,0,0,0,0,14,6,22,32,0,0,"9,17","2,15"
192,20,15,2,40,6,0,0,0,11,7,14,20,32,19,0,"5,13","2,11"
192,26,7,1,50,6,0,4,0,0,26,10,10,32,0,0,"10,15","1,13"
192,26,7,1,50,10,0,4,0,0,26,10,10,32,0,0,"11,7","3,5"
