RETAIL,,,,,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,,,,,
4042,true,5,7,11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,
1,1.1,,,,,,,,,,,,,,,,,,,,
1,1.2,,,,,,,,,,,,,,,,,,,,
1,1.3,,,,,,,,,,,,,,,,,,,,
1,1.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2,additionSound3,additionSound4,additionSound5,additionSound6
192,16,11,2,30,10,11,0,0,2,5,7,16,32,0,11,"5,11","0,9",,,,
192,29,14,2,20,10,0,0,0,0,29,6,15,32,0,0,"8,14","1,12",,,,
192,22,15,2,10,10,0,0,0,4,11,23,9,32,0,0,"12,15","3,13",,,,
192,10,6,1,10,5,0,0,0,4,1,1,18,32,0,0,"8,6","0,4",,,,
192,22,17,2,10,5,0,0,0,11,5,3,22,32,0,0,"9,17","1,15","7,7","7,12","10,8","2,6"
192,13,8,2,10,5,0,0,-3,3,4,7,18,32,0,0,"10,8","2,6",,,,
192,40,19,1,10,5,0,4,-7,0,40,6,24,32,0,0,"11,19","3,17","7,12","7,15","5,11","0,9"
