RETAIL,,,,,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,,,,,
4074,true,5,7,11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,
1,1.1,,,,,,,,,,,,,,,,,,,,
1,1.2,,,,,,,,,,,,,,,,,,,,
1,1.3,,,,,,,,,,,,,,,,,,,,
1,1.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2,additionSound3,additionSound4,additionSound5,additionSound6
192,16,11,2,30,10,39,0,0,2,5,7,16,32,0,11,"5,2","0,0",,,,
192,29,14,2,20,10,0,0,0,0,29,6,15,32,0,0,"8,19","2,17",,,,
192,22,15,2,10,10,0,0,0,4,11,23,9,32,0,0,"12,15","3,13","7,3",,,
192,10,6,1,10,5,0,0,0,4,1,1,18,32,0,0,"8,1","2,0",,,,
192,22,17,2,10,5,0,0,0,11,5,3,22,32,0,0,"9,6","0,4","7,9","7,14","10,7","1,5"
192,13,8,2,10,5,0,0,-3,3,4,7,18,32,0,0,"10,7","1,5",,,,
192,40,19,1,10,5,0,4,-7,0,40,6,24,32,0,0,"11,12","3,10","7,9",,,
