RETAIL,,,,,,,,,,,,,,,,,,,,,
additionFile,countsTowardsMastery,levels,hits,unlockLevel,,,,,,,,,,,,,,,,,
4081,true,5,5,26,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
LEVEL,,,,,,,,,,,,,,,,,,,,,
damage,sp,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,
1,1.5,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,
1,2.5,,,,,,,,,,,,,,,,,,,,
1,3.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
HIT,,,,,,,,,,,,,,,,,,,,,
flags,totalFrames,overlayHitFrameOffset,totalSuccessFrames,damageMultiplier,sp,audioFile,isFinalHit,cameraMovementX,cameraMovementZ,cameraMovementTicks,hitDistanceFromTarget,framesToHitPosition,_0d,additionFailAnimationIndex,overlayStartingFrameOffset,additionSound1,additionSound2,additionSound3,additionSound4,additionSound5,additionSound6
192,7,1,3,20,12,25,0,0,0,0,0,9,32,18,13,"4,1","0,0",,,,
192,19,8,2,20,12,0,0,-7,0,9,6,9,32,0,0,"8,8","1,6",,,,
192,34,17,3,20,12,0,0,3,6,11,20,10,32,0,0,"9,17","2,15","7,30","7,33","10,2","0,0"
192,16,2,2,20,12,0,0,0,0,0,0,15,32,0,0,"10,2","0,0",,,,
192,23,11,1,20,12,0,4,-2,9,4,6,9,32,0,0,"11,11","3,9",,,,
