Speed,AT,MAT,DF,MDF,HP,Unused Addition Unlock Level,Name
0,0,0,0,0,0,255,Dart Lv0
50,2,3,4,4,30,255,Dart Lv1
50,4,5,5,5,60,255,Dart Lv2
50,6,7,7,7,90,255,Dart Lv3
50,8,9,10,9,120,255,Dart Lv4
50,11,11,12,11,150,255,Dart Lv5
50,13,13,14,13,180,255,Dart Lv6
50,15,15,16,15,210,255,Dart Lv7
50,18,17,19,17,240,255,Dart Lv8
50,20,19,21,19,270,255,Dart Lv9
50,22,21,23,21,300,255,Dart Lv10
50,25,24,26,24,330,255,Dart Lv11
50,27,26,28,26,413,255,Dart Lv12
50,30,29,31,29,496,255,Dart Lv13
50,32,31,33,32,579,255,Dart Lv14
50,35,34,36,34,662,255,Dart Lv15
50,37,36,38,37,745,255,Dart Lv16
50,40,39,41,40,828,255,Dart Lv17
50,42,41,43,42,911,255,Dart Lv18
50,45,44,46,45,994,255,Dart Lv19
50,47,46,48,48,1077,255,Dart Lv20
50,50,49,51,51,1160,255,Dart Lv21
50,52,51,53,53,1272,255,Dart Lv22
50,55,54,56,55,1384,255,Dart Lv23
50,57,56,58,57,1496,255,Dart Lv24
50,60,59,61,60,1608,255,Dart Lv25
50,62,61,63,62,1720,255,Dart Lv26
50,65,64,66,64,1832,255,Dart Lv27
50,67,66,68,67,1944,255,Dart Lv28
50,70,69,71,69,2056,255,Dart Lv29
50,72,71,73,71,2168,255,Dart Lv30
50,75,74,76,74,2280,255,Dart Lv31
50,77,76,78,76,2399,255,Dart Lv32
50,80,79,81,79,2518,255,Dart Lv33
50,82,81,83,82,2637,255,Dart Lv34
50,85,84,86,84,2756,255,Dart Lv35
50,87,86,88,87,2875,255,Dart Lv36
50,90,89,91,90,2994,255,Dart Lv37
50,92,91,93,92,3113,255,Dart Lv38
50,95,94,96,95,3232,255,Dart Lv39
50,97,96,98,98,3351,255,Dart Lv40
50,100,99,101,101,3470,255,Dart Lv41
50,102,101,103,103,3729,255,Dart Lv42
50,105,104,105,105,3988,255,Dart Lv43
50,107,106,108,107,4247,255,Dart Lv44
50,110,109,110,110,4506,255,Dart Lv45
50,112,111,113,112,4765,255,Dart Lv46
50,115,114,115,114,5024,255,Dart Lv47
50,117,116,118,117,5283,255,Dart Lv48
50,120,119,120,119,5542,255,Dart Lv49
50,122,121,123,121,5801,255,Dart Lv50
50,125,124,125,124,6060,255,Dart Lv51
50,127,126,128,126,6220,255,Dart Lv52
50,130,129,131,129,6380,255,Dart Lv53
50,133,132,133,132,6540,255,Dart Lv54
50,136,135,136,135,6700,255,Dart Lv55
50,138,138,139,138,6860,255,Dart Lv56
50,141,141,141,141,7020,255,Dart Lv57
50,144,144,144,144,7180,255,Dart Lv58
50,147,147,147,147,7340,255,Dart Lv59
50,150,150,150,150,7500,0,Dart Lv60
0,0,0,0,0,0,8,Lavitz Lv0
45,3,2,5,2,36,255,Lavitz Lv1
45,6,2,8,3,72,255,Lavitz Lv2
45,9,3,11,3,108,255,Lavitz Lv3
45,13,4,14,4,144,9,Lavitz Lv4
45,16,4,17,4,180,255,Lavitz Lv5
45,20,5,19,5,216,10,Lavitz Lv6
45,23,6,22,5,252,255,Lavitz Lv7
45,27,6,25,6,288,255,Lavitz Lv8
45,30,7,28,6,324,255,Lavitz Lv9
45,34,8,31,7,360,11,Lavitz Lv10
45,37,9,34,8,396,255,Lavitz Lv11
45,41,11,37,10,495,12,Lavitz Lv12
45,45,14,41,13,595,255,Lavitz Lv13
45,48,17,44,15,694,255,Lavitz Lv14
45,52,20,47,18,794,255,Lavitz Lv15
45,56,22,51,20,894,255,Lavitz Lv16
45,60,25,54,23,993,255,Lavitz Lv17
45,63,28,57,26,1093,255,Lavitz Lv18
45,67,31,61,28,1192,255,Lavitz Lv19
45,71,33,64,31,1292,255,Lavitz Lv20
45,75,36,67,33,1392,255,Lavitz Lv21
45,78,38,71,35,1526,255,Lavitz Lv22
45,82,40,74,37,1660,255,Lavitz Lv23
45,86,42,77,38,1795,255,Lavitz Lv24
45,90,44,81,40,1929,255,Lavitz Lv25
45,93,46,84,41,2064,255,Lavitz Lv26
45,97,48,87,43,2198,255,Lavitz Lv27
45,101,49,91,44,2332,255,Lavitz Lv28
45,105,51,94,46,2467,255,Lavitz Lv29
45,108,53,97,47,2601,255,Lavitz Lv30
45,112,55,101,49,2736,255,Lavitz Lv31
45,116,57,104,51,2878,255,Lavitz Lv32
45,120,59,107,52,3021,255,Lavitz Lv33
45,123,61,111,54,3164,255,Lavitz Lv34
45,127,63,114,56,3307,255,Lavitz Lv35
45,131,64,117,58,3450,255,Lavitz Lv36
45,135,66,121,60,3592,255,Lavitz Lv37
45,138,68,124,61,3735,255,Lavitz Lv38
45,142,70,127,63,3878,255,Lavitz Lv39
45,146,72,131,65,4021,255,Lavitz Lv40
45,150,74,134,67,4164,255,Lavitz Lv41
45,153,76,137,68,4474,255,Lavitz Lv42
45,157,78,141,70,4785,255,Lavitz Lv43
45,161,79,144,71,5096,255,Lavitz Lv44
45,165,81,147,73,5407,255,Lavitz Lv45
45,168,83,151,74,5718,255,Lavitz Lv46
45,172,85,154,76,6028,255,Lavitz Lv47
45,176,87,157,77,6339,255,Lavitz Lv48
45,180,89,161,79,6650,255,Lavitz Lv49
45,183,91,164,81,6961,255,Lavitz Lv50
45,187,93,167,82,7272,255,Lavitz Lv51
45,191,95,171,84,7464,255,Lavitz Lv52
45,195,97,174,86,7656,255,Lavitz Lv53
45,200,99,178,88,7848,255,Lavitz Lv54
45,204,101,182,90,8040,255,Lavitz Lv55
45,208,103,185,92,8232,255,Lavitz Lv56
45,212,106,189,94,8424,255,Lavitz Lv57
45,216,108,192,96,8616,255,Lavitz Lv58
45,220,110,196,97,8808,255,Lavitz Lv59
45,225,112,199,99,9000,0,Lavitz Lv60
0,0,0,0,0,0,255,Shana Lv0
65,1,3,1,3,24,255,Shana Lv1
65,2,6,2,6,48,255,Shana Lv2
65,3,9,4,9,72,255,Shana Lv3
65,5,12,5,12,96,255,Shana Lv4
65,6,16,7,15,120,255,Shana Lv5
65,8,19,9,19,144,255,Shana Lv6
65,9,22,10,22,168,255,Shana Lv7
65,10,26,12,25,192,255,Shana Lv8
65,12,29,13,28,216,255,Shana Lv9
65,13,32,15,31,240,255,Shana Lv10
65,15,36,17,35,264,255,Shana Lv11
65,16,42,18,41,330,255,Shana Lv12
65,17,48,20,48,396,255,Shana Lv13
65,18,55,22,55,463,255,Shana Lv14
65,19,61,23,61,529,255,Shana Lv15
65,20,68,25,68,596,255,Shana Lv16
65,21,74,27,75,662,255,Shana Lv17
65,22,80,28,81,728,255,Shana Lv18
65,23,87,30,88,795,255,Shana Lv19
65,24,93,32,95,861,255,Shana Lv20
65,25,100,34,102,928,255,Shana Lv21
65,26,105,35,106,1017,255,Shana Lv22
65,27,110,37,111,1107,255,Shana Lv23
65,28,115,39,116,1196,255,Shana Lv24
65,29,120,40,121,1286,255,Shana Lv25
65,30,125,42,126,1376,255,Shana Lv26
65,31,130,44,130,1465,255,Shana Lv27
65,32,135,45,135,1555,255,Shana Lv28
65,33,140,47,140,1644,255,Shana Lv29
65,34,145,49,145,1734,255,Shana Lv30
65,35,151,51,150,1824,255,Shana Lv31
65,36,155,52,155,1919,255,Shana Lv32
65,38,160,54,160,2014,255,Shana Lv33
65,39,165,55,165,2109,255,Shana Lv34
65,41,170,57,170,2204,255,Shana Lv35
65,42,175,59,176,2300,255,Shana Lv36
65,43,180,60,181,2395,255,Shana Lv37
65,45,185,62,186,2490,255,Shana Lv38
65,46,190,63,191,2585,255,Shana Lv39
65,47,195,65,196,2680,255,Shana Lv40
65,49,200,67,202,2776,255,Shana Lv41
65,50,204,68,206,2983,255,Shana Lv42
65,52,208,70,210,3190,255,Shana Lv43
65,53,212,72,214,3397,255,Shana Lv44
65,54,216,73,219,3604,255,Shana Lv45
65,56,220,75,223,3812,255,Shana Lv46
65,57,224,77,227,4019,255,Shana Lv47
65,59,228,78,232,4226,255,Shana Lv48
65,60,232,80,236,4433,255,Shana Lv49
65,61,236,82,240,4640,255,Shana Lv50
65,63,240,84,245,4848,255,Shana Lv51
65,64,241,85,246,4976,255,Shana Lv52
65,65,243,87,247,5104,255,Shana Lv53
65,66,245,89,248,5232,255,Shana Lv54
65,68,246,91,249,5360,255,Shana Lv55
65,69,248,92,250,5488,255,Shana Lv56
65,70,250,94,251,5616,255,Shana Lv57
65,71,251,96,252,5744,255,Shana Lv58
65,72,253,98,253,5872,255,Shana Lv59
65,74,255,100,255,6000,255,Shana Lv60
0,0,0,0,0,0,14,Rose Lv0
55,3,6,5,5,21,255,Rose Lv1
55,6,10,8,7,42,255,Rose Lv2
55,9,14,11,10,63,255,Rose Lv3
55,13,18,14,13,84,255,Rose Lv4
55,16,22,17,15,105,255,Rose Lv5
55,20,27,19,18,126,255,Rose Lv6
55,23,31,22,21,147,15,Rose Lv7
55,27,35,25,23,168,255,Rose Lv8
